TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BRIV3;6,70;0,21;;0,37;0,02;23,97;8,53;0,00;5,31;5,44;;;0,45;1,14;-0,03;23,90;0,00;0,00;;0,07;0,93;0,05;-3,36;;8.703,17;18,04;0,00;;608.373.663,90
BRIV4;7,12;8,42;;0,39;0,03;23,97;8,53;0,00;5,64;5,44;;;0,48;1,21;-0,03;23,90;0,00;0,00;;0,07;0,93;0,05;-3,36;;11.475,10;18,04;0,00;;608.373.663,90
BRKM3;42,45;17,59;2,44;5,51;0,37;30,35;24,66;13,24;1,31;2,19;0,88;3,69;0,32;2,42;-0,64;1,56;225,42;15,11;53,45;0,07;0,93;1,14;17,25;;370.819,27;7,78;17,54;-0,01;33.814.915.449,62
BRKM5;42,89;17,55;2,45;5,52;0,37;30,35;24,66;13,24;1,32;2,19;0,88;3,69;0,32;2,43;-0,64;1,56;225,42;15,11;53,45;0,07;0,93;1,14;17,25;;122.134.376,12;7,78;17,54;-0,01;33.814.915.449,62
BRKM6;25,01;2,42;1,43;3,21;0,22;30,35;24,66;13,24;0,77;2,19;0,88;3,69;0,19;1,41;-0,37;1,56;225,42;15,11;53,45;0,07;0,93;1,14;17,25;;8.390,67;7,78;17,54;0,00;33.814.915.449,62
BRML3;9,11;;40,89;0,68;0,39;90,42;49,84;16,53;13,56;18,10;4,58;0,23;6,76;6,11;-0,43;3,00;1,66;0,96;3,21;0,58;0,42;0,06;-2,54;1,77;131.678.916,65;13,57;0,23;-0,25;7.529.009.605,56
BRPR3;8,58;1,90;127,96;0,58;0,36;100,00;55,26;9,81;22,72;33,56;10,89;0,28;12,55;10,76;-0,40;1,56;0,45;0,28;1,62;0,63;0,37;0,03;-6,86;2,11;18.590.666,58;14,98;0,07;-1,51;4.068.290.200,26
BRQB3;0,00;;0,00;0,00;0,00;35,98;13,48;5,87;0,00;-1,19;-1,19;-0,84;0,00;0,00;0,00;1,89;30,88;10,63;34,89;0,34;0,66;1,81;12,30;;;0,89;0,28;0,00;0,00
BRSR3;12,03;8,72;5,24;0,55;0,05;58,44;13,65;11,57;4,44;4,20;;;0,61;3,17;-0,05;1,33;10,49;0,91;;0,09;0,91;0,08;-5,99;5,43;87.118,92;22,12;2,32;0,17;4.681.434.892,39
BRSR5;15,52;8,40;6,69;0,70;0,06;58,44;13,65;11,57;5,67;4,20;;;0,77;4,04;-0,06;1,33;10,49;0,91;;0,09;0,91;0,08;-5,99;5,43;7.568,60;22,12;2,32;0,22;4.681.434.892,39
BRSR6;10,79;9,79;4,67;0,49;0,04;58,44;13,65;11,57;3,96;4,20;;;0,54;2,82;-0,05;1,33;10,49;0,91;;0,09;0,91;0,08;-5,99;5,43;26.058.244,15;22,12;2,32;0,15;4.681.434.892,39
BSEV3;9,00;;10,22;-10,84;0,78;26,77;17,92;5,55;3,17;5,46;2,30;;0,57;-1,59;-1,13;0,39;-106,05;7,59;30,90;-0,07;1,07;1,37;10,88;;1.097.133,50;-0,83;0,88;-0,06;9.183.864.834,00
BSLI3;24,57;5,27;14,68;3,43;0,29;46,09;20,53;20,46;14,63;13,86;;;3,00;-0,85;-0,32;0,20;23,36;1,99;;0,09;0,91;0,10;5,49;24,83;17.044,36;7,17;1,67;0,42;8.416.849.505,00
BSLI4;18,90;7,54;11,29;2,64;0,23;46,09;20,53;20,46;11,25;13,86;;;2,31;-0,65;-0,25;0,20;23,36;1,99;;0,09;0,91;0,10;5,49;24,83;20.726,40;7,17;1,67;0,32;8.416.849.505,00
BTTL4;11.091,73;;2.230,62;1.830,03;638,56;16,58;8,25;7,83;2.117,19;3,56;0,12;0,10;174,75;2.076,20;-1.937,16;1,85;82,04;28,63;49,04;0,35;0,65;3,65;44,52;101,93;;6,06;4,97;6,11;260.951.574,08
CALI3;98,18;;4,89;3,99;0,19;35,13;18,84;10,23;2,66;6,15;4,36;6,55;0,50;0,65;-0,46;1,99;81,51;3,90;13,05;0,05;0,95;0,38;21,88;12,16;;24,62;20,07;0,02;24.582.197,20
CALI4;50,00;;2,49;2,03;0,10;35,13;18,84;10,23;1,35;6,15;4,36;6,55;0,25;0,33;-0,23;1,99;81,51;3,90;13,05;0,05;0,95;0,38;21,88;12,16;;24,62;20,07;0,01;24.582.197,20
CAMB3;5,31;;8,18;1,80;0,71;46,89;15,03;11,45;6,23;8,78;2,55;0,74;0,94;23,30;-1,21;1,08;21,99;8,62;13,41;0,39;0,61;0,75;-2,78;;239.478,46;2,96;0,65;0,33;224.480.674,80
CAMB4;6,25;;9,61;2,11;0,83;46,89;15,03;11,45;7,32;8,78;2,55;0,74;1,10;27,37;-1,42;1,08;21,99;8,62;13,41;0,39;0,61;0,75;-2,78;;;2,96;0,65;0,39;224.480.674,80
